SSS,SHR,Silverball Slayers,A
DSV,AAB,Death Savers,A
OLD,CDX,Outlane Drains,A
SHK,WAT,Sharks,A
DTP,JUP,DTP,B
LAS,IBX,L League All Stars,B
CPO,ANC,Pants Optional,B
TWC,FFD,The Wrecking Crew,B
RMS,RAY,Magic Saves,B
BOC,KRA,Ball of Cthulhu,C
NLT,OLF,Northern Lights,C
BYE,NAV,Bye Week  No Match,C
PGN,8BT,Pinguins,C
LLK,LLQ,Lucky Lickers,C
DIH,SHR,Drain in Hell,D
PBR,AAB,Point Breakers,D
CDC,CDX,Contras,D
ADB,ADM,Admiraballs,D
JMF,JUP,Middle Flippers,E
RTR,IBX,Ramp Tramps,E
CRA,ANC,Castle Crashers,E
KNR,FFD,Knight Riders,E
PKT,COP,Pocketeers,E
SKP,KRA,Slap Kraken Pop,F
SCN,OLF,Seacorns,F
LCS,HBT,Lake City Shooters,F
SWL,8BT,Specials when Lit,F
HHS,HND,Hellhounds,F
