PGN,8BT,Pinguins
SWL,8BT,Specials When Lit
KNR,GPA,Knight Riders
DSV,AAB,Death Savers
PBR,AAB,Point Breakers
ADB,ADM,Admiraballs
CRA,ANC,Castle Crashers
CPO,ANC,Pants Optional
CDC,CDX,Contras
OLD,CDX,Pinballycule
PKT,COP,Pocketeers
HHS,HND,Hellhounds
RTR,HND,Ramp Tramps
CFB,IBX,Chill Flippin Ballers
LAS,IBX,Little League All Stars
DTP,JUP,DTP
JMF,JUP,Middle Flippers
BOC,KRA,Ball of Cthulhu
SKP,KRA,Slap Kraken Pop
NLT,OLF,Northern Lights
SCN,OLF,Seacorns
RMS,RAY,Magic Saves
SSS,SHR,Silverball Slayers
DIH,SHR,Drain in Hell
TWC,GPA,The Wrecking Crew
TTT,STN,The Trailer Trashers
ETB,TDN,Eighteen Ball Deluxe
SHK,WAT,Sharks
