ADB,ADM,Admiraballs
BOC,T4B,Ball of Cthulhu
CRA,ANC,Castle Crashers
CFB,IBX,Chill Flippin Ballers
CDC,CDX,Contras
DSV,AAB,Death Savers
DIH,SHR,Drain in Hell
DTP,JUP,DTP
ETB,TDN,Eighteen Ball Deluxe
FBP,JUP,Flippin Big Points
FBS,JTT,Frigid Britches
HHS,OLF,Hellhounds
KNR,GPA,Knight Riders
LAS,IBX,Little League All Stars
RMS,RAY,Magic Saves
JMF,JUP,Middle Flippers
NMC,TWP,Neuromancers
NLT,OLF,Northern Lights
CPO,ANC,Pants Optional
PYC,CDX,Pinballycule
PGN,8BT,Pinguins
PKT,COP,Pocketeers
PBR,AAB,Point Breakers
RTR,HND,Ramp Tramps
SSD,BSS,Salty Sea Dogs
SCN,GPA,Seacorns
SHK,WAT,Sharks
SSS,SHR,Silverball Slayers
SKP,BSS,Slap Kraken Pop
SWL,8BT,Specials When Lit
TBT,T4B,The B Team
POW,IBX,The Power
TTT,STN,The Trailer Trashers
TWC,GPA,The Wrecking Crew
