team,1,2,3,4,5,6,7,8,9,10,Avg
SHK,14,10,10,14,10,12,12,12,10,12,11.6
ICB,13,12,11,12,11,11,12,13,10,13,11.8
SSD,18,11,14,17,21,15,15,19,19,21,17.0
SRF,18,18,17,18,16,18,20,20,20,20,18.5
TTT,20,20,15,22,19,14,23,18,20,20,19.1
DIH,21,21,20,21,20,22,18,17,18,15,19.3
HHS,18,19,23,19,20,22,18,23,18,18,19.8
RTR,25,21,16,20,19,19,20,18,21,20,19.9
JMF,26,19,19,21,18,20,18,18,20,21,20.0
NMC,22,22,17,21,25,22,19,19,23,23,21.3
RMS,21,22,19,22,16,25,25,22,22,23,21.7
DOG,22,22,22,23,22,26,24,23,23,23,23.0
TRL,24,23,23,26,27,23,27,20,19,23,23.5
FBP,22,24,23,22,26,26,26,25,27,26,24.7
ETB,21,29,25,25,25,22,27,28,21,25,24.8
PGN,27,26,25,26,26,22,22,32,26,27,25.9
BAD,27,23,25,27,27,25,28,25,27,29,26.3
SCN,29,29,27,25,24,30,30,22,26,26,26.8
SKP,29,25,29,30,29,29,26,26,24,23,27.0
KNR,30,30,27,30,30,28,24,27,24,24,27.4
PYC,29,22,25,26,26,27,33,32,30,25,27.5
TBT,28,27,23,27,30,33,31,27,27,27,28.0
LAS,27,32,33,27,32,32,29,27,26,27,29.2
CPO,32,32,28,34,32,32,29,33,36,32,32.0
DTP,35,35,35,35,35,29,30,33,33,33,33.3
BLK,33,33,33,33,34,36,32,35,32,32,33.3
ADB,36,36,30,35,35,35,34,30,36,34,34.1
PKT,36,36,34,35,36,35,33,33,33,33,34.4
PBR,34,34,34,35,34,35,36,35,34,36,34.7
DSV,34,38,35,38,35,38,34,30,36,37,35.5
SSS,38,38,37,36,36,37,39,36,37,38,37.2
CRA,38,38,38,38,38,38,41,41,34,36,38.0
POW,37,35,37,41,39,38,40,38,40,40,38.5
TWC,36,38,40,40,36,40,42,42,42,42,39.8
SWL,43,43,41,38,43,43,35,42,35,42,40.5
NLT,41,44,40,44,44,44,44,34,44,40,41.9
